datetime,symbol,open,high,low,close,RSI
2022-07-19 23:00:00,OANDA:GBPCHF,1.16242,1.16644,1.16076,1.16362,
2022-07-20 23:00:00,OANDA:GBPCHF,1.16362,1.16552,1.15494,1.1602,
2022-07-21 23:00:00,OANDA:GBPCHF,1.1602,1.1602,1.15254,1.15458,
2022-07-24 23:00:00,OANDA:GBPCHF,1.15458,1.1647,1.15332,1.16195,
2022-07-25 23:00:00,OANDA:GBPCHF,1.16195,1.16437,1.15438,1.15878,
2022-07-26 23:00:00,OANDA:GBPCHF,1.15878,1.16817,1.1566,1.1664,
2022-07-27 23:00:00,OANDA:GBPCHF,1.1664,1.16953,1.1586,1.16274,
2022-07-28 23:00:00,OANDA:GBPCHF,1.16274,1.16489,1.15566,1.15853,
2022-07-31 23:00:00,OANDA:GBPCHF,1.15853,1.16674,1.15792,1.16394,
2022-08-01 23:00:00,OANDA:GBPCHF,1.16394,1.16682,1.15991,1.1643,
2022-08-02 23:00:00,OANDA:GBPCHF,1.1643,1.16987,1.16257,1.16656,
2022-08-03 23:00:00,OANDA:GBPCHF,1.16656,1.1723,1.15835,1.16114,
2022-08-04 23:00:00,OANDA:GBPCHF,1.16114,1.16436,1.1565,1.16059,
2022-08-07 23:00:00,OANDA:GBPCHF,1.16059,1.16256,1.15353,1.15404,
2022-08-08 23:00:00,OANDA:GBPCHF,1.15404,1.15569,1.15063,1.15154,39.607708189951865
2022-08-09 23:00:00,OANDA:GBPCHF,1.15154,1.15357,1.14729,1.15166,39.741693518567345
2022-08-10 23:00:00,OANDA:GBPCHF,1.15166,1.1539,1.14637,1.14823,37.20113346772666
2022-08-11 23:00:00,OANDA:GBPCHF,1.14823,1.1502,1.14028,1.14212,33.137332628611745
2022-08-14 23:00:00,OANDA:GBPCHF,1.14212,1.14368,1.13968,1.14078,32.30388321333816
2022-08-15 23:00:00,OANDA:GBPCHF,1.14078,1.1513,1.13866,1.14884,41.787854529727035
2022-08-16 23:00:00,OANDA:GBPCHF,1.14884,1.15275,1.1462,1.14668,40.16392918476371
2022-08-17 23:00:00,OANDA:GBPCHF,1.14668,1.15086,1.1409,1.14164,36.59079519514902
2022-08-18 23:00:00,OANDA:GBPCHF,1.14164,1.1432,1.13052,1.13506,32.52279461162694
2022-08-21 23:00:00,OANDA:GBPCHF,1.13506,1.13604,1.12982,1.13472,32.32282858155218
2022-08-22 23:00:00,OANDA:GBPCHF,1.13472,1.14221,1.13034,1.14076,39.44571403869364
2022-08-23 23:00:00,OANDA:GBPCHF,1.14076,1.1417,1.1341,1.14042,39.19563452117659
