datetime,symbol,open,high,low,close,RSI
2021-11-17 23:00:00,OANDA:GBPJPY,153.962,154.28,153.713,154.223,46.693169344725845
2021-11-18 23:00:00,OANDA:GBPJPY,154.223,154.452,152.526,153.308,39.02992736501227
2021-11-21 23:00:00,OANDA:GBPJPY,153.308,154.06,153.128,153.89,45.19152683635892
2021-11-22 23:00:00,OANDA:GBPJPY,153.89,154.223,153.286,154.02,46.492289817653734
2021-11-23 23:00:00,OANDA:GBPJPY,154.02,154.155,153.372,153.834,44.85212400819639
2021-11-24 23:00:00,OANDA:GBPJPY,153.834,154.068,153.416,153.703,43.683257618924664
2021-11-25 23:00:00,OANDA:GBPJPY,153.703,153.718,150.718,151.16,28.27751022658914
2021-11-28 23:00:00,OANDA:GBPJPY,151.16,151.916,150.695,151.199,28.692850230262074
2021-11-29 23:00:00,OANDA:GBPJPY,151.199,151.632,149.728,150.508,25.83786921603548
2021-11-30 23:00:00,OANDA:GBPJPY,150.508,151.442,149.624,149.714,23.00527652970722
2021-12-01 23:00:00,OANDA:GBPJPY,149.714,150.8,149.674,150.538,31.409244921184445
2021-12-02 23:00:00,OANDA:GBPJPY,150.538,150.762,148.978,149.329,26.78901158489348
2021-12-05 23:00:00,OANDA:GBPJPY,149.329,150.608,149.226,150.542,36.82920220660412
2021-12-06 23:00:00,OANDA:GBPJPY,150.542,151.132,150.128,150.395,36.181619990977985
2021-12-07 23:00:00,OANDA:GBPJPY,150.395,150.705,149.36,150.135,35.00908957961765
2021-12-08 23:00:00,OANDA:GBPJPY,150.135,150.322,149.49,149.994,34.358803308953505
2021-12-09 23:00:00,OANDA:GBPJPY,149.994,150.516,149.676,150.395,37.89210346170813
2021-12-12 23:00:00,OANDA:GBPJPY,150.395,150.759,149.875,150.079,36.23678669107677
2021-12-13 23:00:00,OANDA:GBPJPY,150.079,150.59,149.767,150.466,39.71041435985296
2021-12-14 23:00:00,OANDA:GBPJPY,150.466,151.312,150.282,151.272,46.2748779173376
2021-12-15 23:00:00,OANDA:GBPJPY,151.272,152.638,151.1,151.488,47.91169650469225
2021-12-16 23:00:00,OANDA:GBPJPY,151.488,151.72,150.432,150.522,41.78099742952559
2021-12-19 23:00:00,OANDA:GBPJPY,150.522,150.578,149.532,150.102,39.41924895682634
2021-12-20 23:00:00,OANDA:GBPJPY,150.102,151.418,149.894,151.402,49.02424614250513
2021-12-21 23:00:00,OANDA:GBPJPY,151.402,152.584,151.104,152.424,55.05701553384205
2021-12-22 23:00:00,OANDA:GBPJPY,152.424,153.712,152.29,153.49,60.33053338625457
2021-12-23 23:00:00,OANDA:GBPJPY,153.49,153.583,153.056,153.225,58.493079900655964
2021-12-26 23:00:00,OANDA:GBPJPY,153.225,154.467,153.105,154.46,63.996467157971395
2021-12-27 23:00:00,OANDA:GBPJPY,154.46,154.586,154.009,154.22,62.26861051429796
2021-12-28 23:00:00,OANDA:GBPJPY,154.22,155.14,154.06,155.095,65.88502544506237
2021-12-29 23:00:00,OANDA:GBPJPY,155.095,155.672,154.924,155.382,67.00219485550616
2021-12-30 23:00:00,OANDA:GBPJPY,155.382,156.018,155.002,155.734,68.37028499536038
2022-01-02 23:00:00,OANDA:GBPJPY,155.734,155.926,154.89,155.468,66.13872218226284
2022-01-03 23:00:00,OANDA:GBPJPY,155.468,157.432,155.328,157.116,72.19407355755229
2022-01-04 23:00:00,OANDA:GBPJPY,157.116,157.771,156.582,157.398,73.0811659119608
2022-01-05 23:00:00,OANDA:GBPJPY,157.398,157.476,156.092,156.81,68.1957485807382
2022-01-06 23:00:00,OANDA:GBPJPY,156.81,157.192,156.742,157.038,69.05945542104195
2022-01-09 23:00:00,OANDA:GBPJPY,157.038,157.379,155.952,156.441,64.14717780687697
2022-01-10 23:00:00,OANDA:GBPJPY,156.441,157.316,156.324,157.202,67.33662769826181
2022-01-11 23:00:00,OANDA:GBPJPY,157.202,157.712,156.763,157.103,66.50773217030975
2022-01-12 23:00:00,OANDA:GBPJPY,157.103,157.463,156.316,156.496,61.508303649050504
2022-01-13 23:00:00,OANDA:GBPJPY,156.496,156.625,155.464,156.22,59.32462707314778
2022-01-16 23:00:00,OANDA:GBPJPY,156.22,156.722,156.057,156.366,60.13096801948614
2022-01-17 23:00:00,OANDA:GBPJPY,156.366,156.91,155.482,155.846,55.88190161578941
2022-01-18 23:00:00,OANDA:GBPJPY,155.846,156.236,155.408,155.626,54.13885730224952
2022-01-19 23:00:00,OANDA:GBPJPY,155.626,156.068,155.15,155.203,50.85436777530474
2022-01-20 23:00:00,OANDA:GBPJPY,155.203,155.244,153.912,154.102,43.463213540454376
2022-01-23 23:00:00,OANDA:GBPJPY,154.102,154.492,152.91,153.788,41.60597895282224
2022-01-24 23:00:00,OANDA:GBPJPY,153.788,154.019,153.12,153.767,41.47832318252477
2022-01-25 23:00:00,OANDA:GBPJPY,153.767,154.746,153.678,154.423,46.953643063694194
2022-01-26 23:00:00,OANDA:GBPJPY,154.423,154.72,153.824,154.373,46.59580183754114
2022-01-27 23:00:00,OANDA:GBPJPY,154.373,154.964,154.099,154.436,47.142419408881416
2022-01-30 23:00:00,OANDA:GBPJPY,154.436,155.336,154.398,154.796,50.2745071551123
2022-01-31 23:00:00,OANDA:GBPJPY,154.796,155.211,154.493,155.11,52.89627208715945
2022-02-01 23:00:00,OANDA:GBPJPY,155.11,155.44,154.81,155.336,54.74570233984134
2022-02-02 23:00:00,OANDA:GBPJPY,155.336,156.506,155.049,156.373,62.099087928467476
2022-02-03 23:00:00,OANDA:GBPJPY,156.373,156.506,155.474,155.904,57.54487889277778
2022-02-06 23:00:00,OANDA:GBPJPY,155.904,156.259,155.14,155.786,56.423679153059794
2022-02-07 23:00:00,OANDA:GBPJPY,155.786,156.722,155.618,156.55,61.635631078187146
2022-02-08 23:00:00,OANDA:GBPJPY,156.55,156.858,156.198,156.378,59.898682805475566
2022-02-09 23:00:00,OANDA:GBPJPY,156.378,158.07,156.252,157.314,65.58279590276999
2022-02-10 23:00:00,OANDA:GBPJPY,157.314,157.728,155.868,156.598,58.72550336087677
2022-02-13 23:00:00,OANDA:GBPJPY,156.598,156.866,155.308,156.364,56.641099153873775
2022-02-14 23:00:00,OANDA:GBPJPY,156.364,156.832,155.97,156.552,57.93298333906712
2022-02-15 23:00:00,OANDA:GBPJPY,156.552,157.119,156.354,156.82,59.77301148881445
2022-02-16 23:00:00,OANDA:GBPJPY,156.82,157.009,156.061,156.464,56.25312014741434
2022-02-17 23:00:00,OANDA:GBPJPY,156.464,157.296,156.219,156.359,55.220248254633944
2022-02-20 23:00:00,OANDA:GBPJPY,156.359,156.754,156.014,156.042,52.10945586449299
2022-02-21 23:00:00,OANDA:GBPJPY,156.042,156.512,155.516,156.323,54.55347763503296
2022-02-22 23:00:00,OANDA:GBPJPY,156.323,156.781,155.608,155.811,49.587800606817645
2022-02-23 23:00:00,OANDA:GBPJPY,155.811,155.894,153.372,154.5,39.63853477142825
2022-02-24 23:00:00,OANDA:GBPJPY,154.5,155.186,154.158,154.978,44.04664277369892
2022-02-27 23:00:00,OANDA:GBPJPY,154.978,154.998,153.83,154.312,39.69675117596321
2022-02-28 23:00:00,OANDA:GBPJPY,154.312,154.693,152.666,153.13,33.39361135400712
2022-03-01 23:00:00,OANDA:GBPJPY,153.13,154.924,152.814,154.862,46.73888109485874
2022-03-02 23:00:00,OANDA:GBPJPY,154.862,155.234,153.869,154.126,42.81329312904952
2022-03-03 23:00:00,OANDA:GBPJPY,154.126,154.228,151.472,151.976,33.86528343465698
2022-03-06 23:00:00,OANDA:GBPJPY,151.976,152.234,151.04,151.107,31.04135025773879
2022-03-07 23:00:00,OANDA:GBPJPY,151.107,152.015,150.983,151.542,34.00786194693677
2022-03-08 23:00:00,OANDA:GBPJPY,151.542,152.78,151.451,152.778,41.684252446360304
2022-03-09 23:00:00,OANDA:GBPJPY,152.778,153.0,151.883,151.938,38.41387084619193
2022-03-10 23:00:00,OANDA:GBPJPY,151.938,153.405,151.909,152.912,43.90906967469282
2022-03-13 22:00:00,OANDA:GBPJPY,152.912,154.193,152.912,153.687,47.89310453612346
2022-03-14 22:00:00,OANDA:GBPJPY,153.687,154.695,153.228,154.264,50.70067248498613
2022-03-15 22:00:00,OANDA:GBPJPY,154.264,156.146,154.187,156.146,58.546287563331155
2022-03-16 22:00:00,OANDA:GBPJPY,156.146,156.721,155.464,155.961,57.57629916307966
2022-03-17 22:00:00,OANDA:GBPJPY,155.961,157.228,155.864,157.019,61.50435294758295
2022-03-20 22:00:00,OANDA:GBPJPY,157.019,157.514,156.382,157.331,62.6039860301543
2022-03-21 22:00:00,OANDA:GBPJPY,157.331,160.254,157.249,160.25,70.96146152651751
2022-03-22 22:00:00,OANDA:GBPJPY,160.25,161.107,159.04,159.978,69.40492407548176
2022-03-23 22:00:00,OANDA:GBPJPY,159.978,161.412,159.592,161.343,72.64744877905869
2022-03-24 22:00:00,OANDA:GBPJPY,161.343,161.502,159.854,160.922,70.17708335330629
2022-03-27 23:00:00,OANDA:GBPJPY,160.922,164.658,160.772,162.268,73.30282957163
2022-03-28 23:00:00,OANDA:GBPJPY,162.268,162.725,160.26,160.92,65.85820186407469
2022-03-29 23:00:00,OANDA:GBPJPY,160.92,161.376,159.047,160.049,61.51120407150612
2022-03-30 23:00:00,OANDA:GBPJPY,160.049,160.888,159.443,159.957,61.05280940106793
2022-03-31 23:00:00,OANDA:GBPJPY,159.957,161.195,159.857,160.73,63.51316496321403
2022-04-03 23:00:00,OANDA:GBPJPY,160.73,161.313,160.284,161.017,64.41206543431547
2022-04-04 23:00:00,OANDA:GBPJPY,161.017,161.976,160.512,161.586,66.19046625269928
2022-04-05 23:00:00,OANDA:GBPJPY,161.586,162.283,161.541,161.772,66.77495718321744
2022-04-06 23:00:00,OANDA:GBPJPY,161.772,162.274,161.404,162.087,67.79051503529816
2022-04-07 23:00:00,OANDA:GBPJPY,162.087,162.365,161.646,162.028,67.37511666294277
2022-04-10 23:00:00,OANDA:GBPJPY,162.028,163.851,161.651,163.37,71.63300592796507
2022-04-11 23:00:00,OANDA:GBPJPY,163.37,163.634,162.79,163.032,69.18394502175103
2022-04-12 23:00:00,OANDA:GBPJPY,163.032,164.85,162.97,164.814,74.19342323495522
2022-04-13 23:00:00,OANDA:GBPJPY,164.814,164.876,164.034,164.655,73.05232352837544
2022-04-14 23:00:00,OANDA:GBPJPY,164.655,165.456,164.408,165.16,74.39909067236782
2022-04-17 23:00:00,OANDA:GBPJPY,165.16,165.433,164.644,165.248,74.6369654410164
2022-04-18 23:00:00,OANDA:GBPJPY,165.248,167.616,165.224,167.55,79.89865705876646
2022-04-19 23:00:00,OANDA:GBPJPY,167.55,168.438,166.43,167.108,76.61223060203585
